traffic_level,weather_condition,distance_km,time_of_day,day_of_week,delay_minutes
3,0,194.8546714344799,19,6,71.04970840610846
4,3,220.56648677957185,12,0,102.48791080757798
2,0,292.99710304413503,15,6,49.31519952689675
4,0,159.72710100734665,12,4,67.72684635903227
4,1,103.65737715296133,13,3,73.26408331361499
1,3,240.60399648292406,2,1,71.87247822170559
2,3,88.54135286600152,5,6,52.39973405177564
2,1,137.30171200463445,17,0,76.47483295936445
2,2,32.75235058925713,18,0,71.89715236030499
4,0,17.351715590482677,4,6,42.18563845065389
