traffic_level,weather_condition,distance_km,time_of_day,day_of_week,delay_mins
3,2,207.65897554942407,22,4,71.66356375484649
4,3,406.3848975989196,21,4,108.51766778830569
2,4,418.73383431570545,0,3,93.49427218508208
4,4,169.43456139222428,10,2,133.7335064747561
4,4,348.34093844952866,9,3,142.74247999424162
1,2,386.70579384668383,4,4,45.58548749559472
2,3,329.0520899986475,15,0,70.60280271070705
2,1,80.03956202604918,10,0,69.45882678855732
2,1,438.5621263409432,20,1,52.050036364639276
4,2,271.8518036043243,5,5,77.06834466964943
3,4,144.82385105315183,8,6,117.71248860885376
2,0,215.4879517916585,12,6,26.08451056766811
5,2,23.597689747459153,23,6,86.91542962905088
4,2,68.29406660509669,7,1,81.74832514792878
1,3,383.94564150535115,13,0,64.91916201893497
3,1,5.00575920390624,23,4,56.92464647226115
5,2,211.20008509873463,0,1,95.8102903281446
5,2,263.64253963736627,16,6,117.04996664438893
1,4,32.044037900481285,23,6,63.1852364485774
3,4,486.67369067130477,4,3,106.63075373481199
4,0,116.9320389685876,1,6,41.787000228190365
0,3,155.57836621995904,23,5,44.826791139795
3,0,155.45154356623854,8,6,60.50039698084139
1,4,119.0562477480882,3,3,71.8389893805446
5,1,5.729541932724151,16,6,93.53441953902019
4,4,366.0256730735582,16,5,136.69413042092143
3,3,483.58852240064624,20,4,96.40129334027192
0,4,116.02527422609731,17,1,93.03624792239661
0,3,333.2083599426941,15,5,59.326666076183734
2,3,372.238681844564,7,3,76.49550626561016
2,3,424.9705626498097,10,1,103.85550689748743
1,3,214.2014525217365,20,1,67.08708613890302
3,3,154.95079829201248,20,3,76.74571118115466
3,1,166.0210913414004,17,0,83.34856436034651
5,0,357.74755988376387,22,6,73.66667481465355
5,2,409.30583592028984,23,5,93.74131508821768
5,0,94.89891403951832,9,3,93.81117400880866
2,3,188.61579903809377,12,4,83.06089638226979
3,1,451.46039739082926,16,2,88.91844130037073
3,4,404.31329224889595,17,3,132.05878768827853
0,1,492.5049093674255,9,6,44.251217941702215
2,3,378.35288854262996,15,6,81.91307741605722
4,1,199.63162450882152,19,1,86.86467922699087
2,1,297.36572782734567,4,1,46.79601856974873
4,3,332.20205585242354,12,3,101.9995166537036
0,1,43.83562907697635,17,2,24.39544752162688
1,2,274.52599475641324,16,3,74.51953681280703
3,2,356.11381009394177,8,2,111.22965013427128
0,1,87.82404548052489,13,2,6.297198798258142
3,4,391.4127001256508,16,6,128.55879403244734
5,3,293.96752635448524,3,6,101.14377364341661
1,2,476.34978392030933,17,6,72.0562884843803
1,4,25.99903761241139,19,4,87.87109647814671
0,1,136.33643808995615,23,6,18.52444039678521
1,4,302.76917025341294,23,5,82.02340742136623
4,0,151.7971565419357,14,1,53.084636294684174
1,2,358.6399612152649,10,1,69.52188687701744
3,1,380.70761484835583,11,2,55.567178513987486
3,3,55.74540221290486,8,1,108.4762714746863
3,1,259.35795978235,12,0,51.6925392449524
3,3,256.90082501757263,14,2,79.49404095777325
4,1,187.79398125669283,14,1,65.56024432462405
2,4,466.7978069719877,4,0,88.61241509307771
5,4,414.6156283372445,22,4,130.3501021530131
0,4,350.11864404527023,18,1,98.49585988248998
3,0,358.59168468882376,19,0,81.15975070730529
1,3,233.54949118749394,13,3,63.361324384448125
3,4,460.89228794280507,16,5,133.4477065729538
1,0,348.82473649037627,17,3,40.97990801333689
5,3,365.84562551962915,20,0,109.63002863928486
5,1,431.5369973747359,2,2,90.05102118019941
5,0,140.66543672438453,1,6,61.4316697337538
1,2,404.500097414018,0,6,50.45473884130927
3,0,101.64409846346356,9,6,69.14776031991094
5,0,175.9442663612195,18,2,87.17574946779143
4,3,171.12717486357215,16,1,128.9246456857122
1,1,489.3701068526246,11,6,39.65254881730952
1,2,428.9859257552238,0,3,52.85670936999555
3,4,352.07908148717854,11,2,99.80063589440685
1,4,364.89309699961814,16,2,106.84349191524288
1,0,283.2260332292727,23,6,15.519290925254221
5,3,473.80988021871696,2,3,116.82324188535286
3,3,250.64808267676895,10,4,110.50383632473324
5,4,193.3562663855978,16,2,153.70117318263254
5,2,85.70249178113754,22,6,91.55519397163897
3,1,394.1717978692237,2,5,69.07272370856796
0,2,368.54974637741776,7,0,35.99326003556972
5,1,195.25574406944676,19,1,101.23224107127139
4,4,17.470739909818533,3,2,110.07998373220263
4,1,420.3036772204153,20,5,76.79542882354566
1,3,10.651901809766448,21,5,62.5635304603317
4,0,353.3313909163802,6,2,55.90053504034009
1,0,485.27726931439827,13,4,23.400991190311892
0,4,221.64235743336073,13,0,66.13553743552933
3,3,121.31183547299662,3,1,78.0368726413193
3,2,353.91114997147395,15,2,78.19859020825997
3,3,409.4784302977146,23,1,82.90028644535096
4,0,275.4830064585344,21,3,48.12966675024673
0,0,483.68246125179235,0,5,9.948784647643173
4,3,30.576017220690748,16,5,117.01222167368611
4,3,254.87382116074141,9,2,127.07826342009207
0,0,360.6347039246623,21,2,9.44945744184415
0,2,432.0070332188436,15,3,39.331147599730336
0,4,93.73152789435608,15,4,56.24696057802687
0,4,401.0017234730223,7,2,68.15283499377745
3,3,278.5900024806799,6,5,86.30924270400652
2,4,201.29407258503178,5,1,89.1368151362115
2,0,70.19893914665131,15,0,23.253788755794837
0,0,433.32140065991166,19,6,36.28051570316595
2,3,82.8502380489591,15,1,68.92419957244485
2,3,158.34499030850412,6,4,74.31246713181564
0,3,148.57253832140626,8,0,76.95168863685687
2,2,436.3499469244729,13,1,60.05402144522759
4,4,337.9879821334045,10,1,135.89896729176067
1,3,399.3572916097293,13,3,67.36897661454128
1,1,128.981609902287,6,6,22.974133794473595
0,1,314.3126793054645,0,4,26.844577360569602
3,0,288.0142616561556,12,5,41.81509831870799
0,4,417.2510365101942,19,3,92.77122872071206
3,3,453.51309493822396,2,0,92.80034149052061
1,1,11.017601881306469,19,6,54.64012463973661
0,4,338.6398599341024,3,5,66.80538757357658
5,0,30.658720564265867,10,3,90.00625646429488
4,2,276.6850392132912,1,6,80.17175925751455
2,4,147.37820087662072,13,4,90.50934648400055
3,4,156.8544167634599,11,2,93.74397097692382
5,2,179.7144592089165,16,2,121.147534139504
2,4,312.539762279557,11,0,88.61142876325636
2,0,170.35473300604076,11,2,20.85166434827486
0,0,367.6860300421888,0,3,8.636934686565642
2,2,205.24105585906548,12,0,57.93268865142766
4,3,38.83483415342952,13,5,86.06306913565795
5,1,392.9611220296331,23,4,72.29089472779401
